symbol,incomeType,income,asset,time,datetime_utc,info
BTCUSDT,REALIZED_PNL,-3.36896,USDT,1789659639000,2026-09-17T15:40:39+00:00,538571502
BTCUSDT,COMMISSION,-0.39258931,USDT,1789659639000,2026-09-17T15:40:39+00:00,538571502
XRPUSDT,COMMISSION,-0.39194584,USDT,1789668014000,2026-09-17T18:00:14+00:00,162089817
SOLUSDT,COMMISSION,-0.00182322,USDT,1789677021000,2026-09-17T20:30:21+00:00,92956359
SOLUSDT,COMMISSION,-0.0020258,USDT,1789677021000,2026-09-17T20:30:21+00:00,92956360
SOLUSDT,COMMISSION,-0.0010129,USDT,1789677024000,2026-09-17T20:30:24+00:00,92956361
SOLUSDT,COMMISSION,-0.00182322,USDT,1789677024000,2026-09-17T20:30:24+00:00,92956362
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677024000,2026-09-17T20:30:24+00:00,92956363
SOLUSDT,COMMISSION,-0.00222838,USDT,1789677024000,2026-09-17T20:30:24+00:00,92956364
SOLUSDT,COMMISSION,-0.00141806,USDT,1789677026000,2026-09-17T20:30:26+00:00,92956365
SOLUSDT,COMMISSION,-0.00121547,USDT,1789677027000,2026-09-17T20:30:27+00:00,92956366
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677027000,2026-09-17T20:30:27+00:00,92956367
SOLUSDT,COMMISSION,-0.0010129,USDT,1789677027000,2026-09-17T20:30:27+00:00,92956368
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677029000,2026-09-17T20:30:29+00:00,92956369
SOLUSDT,COMMISSION,-0.00121547,USDT,1789677029000,2026-09-17T20:30:29+00:00,92956370
SOLUSDT,COMMISSION,-0.00222838,USDT,1789677029000,2026-09-17T20:30:29+00:00,92956371
SOLUSDT,COMMISSION,-0.00182322,USDT,1789677030000,2026-09-17T20:30:30+00:00,92956372
SOLUSDT,COMMISSION,-0.0830578,USDT,1789677031000,2026-09-17T20:30:31+00:00,92956373
SOLUSDT,COMMISSION,-0.0020258,USDT,1789677032000,2026-09-17T20:30:32+00:00,92956374
SOLUSDT,COMMISSION,-0.00182322,USDT,1789677032000,2026-09-17T20:30:32+00:00,92956375
SOLUSDT,COMMISSION,-0.00243095,USDT,1789677032000,2026-09-17T20:30:32+00:00,92956376
SOLUSDT,COMMISSION,-0.0020258,USDT,1789677033000,2026-09-17T20:30:33+00:00,92956380
SOLUSDT,COMMISSION,-0.0010129,USDT,1789677034000,2026-09-17T20:30:34+00:00,92956381
SOLUSDT,COMMISSION,-0.00243095,USDT,1789677034000,2026-09-17T20:30:34+00:00,92956382
SOLUSDT,COMMISSION,-0.00182322,USDT,1789677034000,2026-09-17T20:30:34+00:00,92956383
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677035000,2026-09-17T20:30:35+00:00,92956384
SOLUSDT,COMMISSION,-0.0010129,USDT,1789677036000,2026-09-17T20:30:36+00:00,92956385
SOLUSDT,COMMISSION,-0.00121547,USDT,1789677036000,2026-09-17T20:30:36+00:00,92956386
SOLUSDT,COMMISSION,-0.00182322,USDT,1789677037000,2026-09-17T20:30:37+00:00,92956387
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677037000,2026-09-17T20:30:37+00:00,92956388
SOLUSDT,COMMISSION,-0.0010129,USDT,1789677038000,2026-09-17T20:30:38+00:00,92956389
SOLUSDT,COMMISSION,-0.0010129,USDT,1789677038000,2026-09-17T20:30:38+00:00,92956390
SOLUSDT,COMMISSION,-0.0020258,USDT,1789677039000,2026-09-17T20:30:39+00:00,92956391
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677040000,2026-09-17T20:30:40+00:00,92956392
SOLUSDT,COMMISSION,-0.00222838,USDT,1789677040000,2026-09-17T20:30:40+00:00,92956393
SOLUSDT,COMMISSION,-0.0020258,USDT,1789677040000,2026-09-17T20:30:40+00:00,92956394
SOLUSDT,COMMISSION,-0.00182322,USDT,1789677041000,2026-09-17T20:30:41+00:00,92956395
SOLUSDT,COMMISSION,-0.00121547,USDT,1789677042000,2026-09-17T20:30:42+00:00,92956396
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677042000,2026-09-17T20:30:42+00:00,92956397
SOLUSDT,COMMISSION,-0.00121547,USDT,1789677043000,2026-09-17T20:30:43+00:00,92956398
SOLUSDT,COMMISSION,-0.00182322,USDT,1789677043000,2026-09-17T20:30:43+00:00,92956399
SOLUSDT,COMMISSION,-0.0020258,USDT,1789677043000,2026-09-17T20:30:43+00:00,92956400
SOLUSDT,COMMISSION,-0.0010129,USDT,1789677045000,2026-09-17T20:30:45+00:00,92956401
SOLUSDT,COMMISSION,-0.0020258,USDT,1789677045000,2026-09-17T20:30:45+00:00,92956402
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677045000,2026-09-17T20:30:45+00:00,92956403
SOLUSDT,COMMISSION,-0.00141806,USDT,1789677045000,2026-09-17T20:30:45+00:00,92956404
SOLUSDT,COMMISSION,-0.0020258,USDT,1789677048000,2026-09-17T20:30:48+00:00,92956406
SOLUSDT,COMMISSION,-0.00141806,USDT,1789677048000,2026-09-17T20:30:48+00:00,92956407
SOLUSDT,COMMISSION,-0.00141806,USDT,1789677049000,2026-09-17T20:30:49+00:00,92956408
SOLUSDT,COMMISSION,-0.00121547,USDT,1789677050000,2026-09-17T20:30:50+00:00,92956409
SOLUSDT,COMMISSION,-0.00283612,USDT,1789677050000,2026-09-17T20:30:50+00:00,92956410
SOLUSDT,COMMISSION,-0.00162064,USDT,1789677050000,2026-09-17T20:30:50+00:00,92956411
